name,price,picture-src,brand
MA+ COW LEATHER EXPANDALE ACCORDION BAG,$835.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/17cdbfeeb5322b76320dafcac619f81d_2400x.jpg?v=1570306680,MA+
THOM BROWNE MEN UNCONSTRUCTED CLASSIC SB SPORT COAT WITH SEAMED IN 4 BAR STRIPE IN COTTON TWILL,$950.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/cc43de1f16b24f0a7c92ae875ea561a6_2400x.jpg?v=1561414902,THOM BROWNE
ADIDAS RAF SIMONS TORSION ADILETTE SLIPPER,$56.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/6b2e24ddad87a0f488fe468ac2975f89_2400x.jpg?v=1566847699,ADIDAS BY RAF SIMONS
DEEPTI CLASSIC SHORT JACKET LINED,$876.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/04e2a37ebc7ceae860fea44c941c85af_2400x.jpg?v=1570574321,DEEPTI
THOM BROWNE MEN CLASSIC SWEATSHIRT WITH ENGINEERED 4 BAR IN CLASSIC LOOP BACK,$530.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/e6e589e55087c0635156b6b49c08831f_2400x.jpg?v=1545677939,THOM BROWNE
GUIDI PL2 MEN HORSE LEATHER FRONT ZIP BOOT CO00T,"$1,530.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/a15baaf38100be09b5026633f4cc5836_2400x.jpg?v=1583612728,GUIDI
OFF-WHITE MEN PARACHUTE CARGO PANT,$800.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/9db4ea3150fceec5903f1b95e8b02bec_2400x.jpg?v=1575223345,OFF-WHITE
MASTERMIND WORLD IPHONE 11 PRO MAX CASE,$60.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/3fb981372079a05124130c9406c93465_2400x.jpg?v=1576967587,MASTERMIND WORLD
GUIDI X LAYER-0 MEN CTM SOFT HORSE LEATHER PARKA,"$3,850.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/5c467d5994ed35e9a12c50f3d4b62ae5_2400x.jpg?v=1566233952,GUIDI
PALM ANGELS MEN RECOVERY LACE UP SNEAKERS,$535.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/35ad924caeef946f9c12bd9e5b34773a_2400x.jpg?v=1580842591,PALM ANGELS
SAINT LAURENT MEN WYATT 40 HARNESS BOOTS,"$1,095.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/42e45b6f0081ac3d812f0bf06a2eaed9_2400x.jpg?v=1576028758,SAINT LAURENT
Y/PROJECT UNISEX OVERSIZED/FITTED TRACK JACKET,"$1,015.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/ceec5eebce8f691f7c752e8506cfdc6d_2400x.jpg?v=1580330763,Y/PROJECT
MAISON MARGIELA MEN NUMBER LOGO T-SHIRT,$365.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/d4149669d275dcea5061a566c9e5deee_2400x.jpg?v=1581360501,MAISON MARGIELA
MA+ MEN ONE PIECE SHORT SLEEVE T-SHIRT,$350.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/7c1eae41b26625670a178ab537e2d02d_2400x.jpg?v=1566769324,MA+
