name,price,picture-src,brand,type
ADIDAS RAF SIMONS TORSION ADILETTE SLIPPER,$56.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/6b2e24ddad87a0f488fe468ac2975f89_2400x.jpg?v=1566847699,ADIDAS BY RAF SIMONS,footwear
MASTERMIND WORLD IPHONE 11 PRO MAX CASE,$60.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/3fb981372079a05124130c9406c93465_2400x.jpg?v=1576967587,MASTERMIND WORLD,accessory
ADIDAS TENNIS HU HUMAN MADE SNEAKERS,$65.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/939490e2b9ca99558e37412bb71cc5e3_2400x.jpg?v=1570212036,ADIDAS,footwear
PALM ANGELS LOGO AIRPODS CASE,$80.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/400bfcf8e37ff4178f0fab1e0181af1b_2400x.jpg?v=1584139647,PALM ANGELS,accessory
OFF WHITE PUZZLE IPHONE 11 PRO CASE,$90.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/bdd2de9220fac5f5e038f1bd22c5131d_2400x.jpg?v=1583518603,OFF-WHITE,accessory
CANADA GOOSE MEN STANDARD TOQUE 5116M,$95.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/265938b85e32fd04d7dcc49f93588bb8_2400x.jpg?v=1577482659,CANADA GOOSE,accessory
OFF-WHITE DRIPPING ARROWS IPHONE XS MAX COVER,$100.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/b22a093c44e63fecfb76cf74e04dcb8b_2400x.jpg?v=1575213651,OFF-WHITE,accessory
ADIDAS X 424 SC PREMIER,$140.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/ea484b97ce4c6b0d46d9e2be3b5f2aa3_2400x.jpg?v=1576431573,ADIDAS,footwear
STONE ISLAND MEN LOGO EMBROIDERY SHORT SLEEVES T-SHIRT,$145.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/eed948f819417e699f3e882a22e14459_2400x.jpg?v=1585259863,STONE ISLAND,top
STONE ISLAND MEN GRAPHIC LOGO T-SHIRT,$145.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/b99295b77cefc4bdd58385857d50689b_2400x.jpg?v=1578528844,STONE ISLAND,top
Y-3 ZX TORSION SNEAKER,$150.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/314c5f676b5618991a2a193a49b65305_2400x.jpg?v=1570805254,Y-3,footwear
MA+ ROLLED CLOSED POUCH,$150.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/c6b80acea53a4944f63a01b8827d0f19_2400x.jpg?v=1569880699,MA+,accessory
MARTINE ROSE MEN T-SHIRT WITH CLOWN ARTWORK,$155.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/14329683_24945467_1000_2400x.jpg?v=1582159771,MARTINE ROSE,top
